,name1,text1,year,field,additional
1,James Peebles,James Peebles “for theoretical discoveries in physical cosmology”,2019,physics,['a> “for theoretical discoveries in physical cosmology”<']
2,Michel Mayor,Michel Mayor and Didier Queloz “for the discovery of an exoplanet orbiting a solar-type star”,2019,physics,['a> “for the discovery of an exoplanet orbiting a solar-type star”<']
3,Didier Queloz,Michel Mayor and Didier Queloz “for the discovery of an exoplanet orbiting a solar-type star”,2019,physics,['a> “for the discovery of an exoplanet orbiting a solar-type star”<']
4,John B. Goodenough,"John B. Goodenough, M. Stanley Whittingham and Akira Yoshino “for the development of lithium-ion batteries”",2019,chemistry,"['a>, <a href=""https:', 'a> and <a href=""https:', 'a> “for the development of lithium-ion batteries”<']"
5,M. Stanley Whittingham,"John B. Goodenough, M. Stanley Whittingham and Akira Yoshino “for the development of lithium-ion batteries”",2019,chemistry,"['a>, <a href=""https:', 'a> and <a href=""https:', 'a> “for the development of lithium-ion batteries”<']"
6,Akira Yoshino,"John B. Goodenough, M. Stanley Whittingham and Akira Yoshino “for the development of lithium-ion batteries”",2019,chemistry,"['a>, <a href=""https:', 'a> and <a href=""https:', 'a> “for the development of lithium-ion batteries”<']"
7,William G. Kaelin Jr,"William G. Kaelin Jr, Sir Peter J. Ratcliffe and Gregg L. Semenza “for their discoveries of how cells sense and adapt to oxygen availability”",2019,medicine,"['a>, <a href=""https:', 'a> and <a href=""https:', 'a>\xa0“for their discoveries of how cells sense and adapt to oxygen availability”<']"
8,Sir Peter J. Ratcliffe,"William G. Kaelin Jr, Sir Peter J. Ratcliffe and Gregg L. Semenza “for their discoveries of how cells sense and adapt to oxygen availability”",2019,medicine,"['a>, <a href=""https:', 'a> and <a href=""https:', 'a>\xa0“for their discoveries of how cells sense and adapt to oxygen availability”<']"
9,Gregg L. Semenza,"William G. Kaelin Jr, Sir Peter J. Ratcliffe and Gregg L. Semenza “for their discoveries of how cells sense and adapt to oxygen availability”",2019,medicine,"['a>, <a href=""https:', 'a> and <a href=""https:', 'a>\xa0“for their discoveries of how cells sense and adapt to oxygen availability”<']"
12,Abhijit Banerjee,"Abhijit Banerjee, Esther Duflo and Michael Kremer “for their experimental approach to alleviating global poverty”",2019,economics,"['a>,\xa0<a href=""https:', 'a>\xa0and\xa0<a href=""https:', 'a>\xa0“for their experimental approach to alleviating global poverty”<']"
